"Df","SumOfSqs","R2","F","Pr(>F)"
"Maturity_Days",5,10.8149665904423,0.29783153310075,9.92533587464208,0.001
"Residual",117,25.4973958979978,0.702168466899249,NA,NA
"Total",122,36.31236248844,1,NA,NA
