"Df","SumOfSqs","R2","F","Pr(>F)"
"Maturity_Days",5,4.72130797445936,0.178378291952539,5.08026016207484,0.001
"Residual",117,21.7466434941844,0.821621708047461,NA,NA
"Total",122,26.4679514686438,1,NA,NA
