"Df","SumOfSqs","R2","F","Pr(>F)"
"Maturity_Days",5,0.766413840554343,0.289742312110341,9.54578911145174,0.001
"Residual",117,1.87874293676326,0.710257687889658,NA,NA
"Total",122,2.64515677731761,1,NA,NA
