"Df","SumOfSqs","R2","F","Pr(>F)"
"Material",1,1.54960036319313,0.20319110392067,9.18021846535188,0.001
"Residual",36,6.07671955580357,0.79680889607933,NA,NA
"Total",37,7.62631991899671,1,NA,NA
