"Df","SumOfSqs","R2","F","Pr(>F)"
"Material",1,0.530268386439297,0.0840509679401224,3.30349696318758,0.001
"Residual",36,5.77862250958296,0.915949032059877,NA,NA
"Total",37,6.30889089602226,1,NA,NA
