"Df","SumOfSqs","R2","F","Pr(>F)"
"Material",1,0.789533613276015,0.0800666789513623,3.13327104943147,0.001
"Residual",36,9.07141757911238,0.919933321048637,NA,NA
"Total",37,9.8609511923884,1,NA,NA
