"Df","SumOfSqs","R2","F","Pr(>F)"
"Maturity_Days",5,7.3875488418111,0.183359063854794,5.25396401808501,0.001
"Residual",117,32.9025174712536,0.816640936145206,NA,NA
"Total",122,40.2900663130647,1,NA,NA
