"Df","SumOfSqs","R2","F","Pr(>F)"
"Material",1,0.173787491299902,0.264381681936803,12.9384224345909,0.001
"Residual",36,0.483548107848922,0.735618318063196,NA,NA
"Total",37,0.657335599148825,1,NA,NA
